elevation, aspect, slope, horizontal_distance_to_hydrology,vertical_distance_to_hydrology, Horizontal_Distance_To_Roadways, Hillshade_Noon, Hillshade_3pm, Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2350,30,27,228,83,330,172,94,1034,4,10,2
2537,33,13,180,45,108,211,127,541,4,6,2
2154,359,18,30,0,210,204,149,591,4,10,2
2522,51,18,210,94,700,197,99,384,4,6,2
2330,317,21,153,42,240,216,195,895,4,10,2
2525,66,6,180,42,218,228,137,430,4,6,2
2558,301,15,153,51,212,233,195,858,4,10,2
2310,288,12,234,91,319,239,192,598,4,3,2
2281,324,28,60,16,175,197,193,1090,4,10,2
2565,291,12,306,95,633,238,192,769,4,6,2
2532,334,8,234,24,864,229,167,811,4,6,2
2563,34,14,297,37,685,208,123,853,4,6,2
2499,40,8,127,30,30,222,136,450,4,6,2
2543,299,21,242,76,616,227,208,702,4,10,2
2448,288,20,60,21,1326,233,212,792,4,10,2
2400,349,23,67,35,636,195,158,1366,4,10,2
2545,209,8,306,76,1142,248,169,780,4,6,2
2493,242,21,190,60,446,252,210,153,4,10,2
2537,241,9,192,36,1100,248,181,960,4,6,2
2456,15,5,60,14,1176,229,150,853,4,10,2
2446,33,25,150,81,658,178,95,1300,4,10,2
2496,254,26,182,69,1295,246,225,664,4,10,2
2522,350,17,242,53,30,210,159,532,4,6,2
2506,1,16,42,13,1092,208,149,854,4,6,2
2457,282,22,90,24,283,235,218,42,4,10,2
2332,302,17,228,7,150,229,200,750,4,10,2
2526,293,14,313,140,942,236,196,1328,4,10,2
2484,12,16,30,7,1116,206,138,819,4,6,2
2562,320,12,365,85,738,229,179,1057,4,6,2
2256,75,18,256,76,1482,203,88,150,4,3,3
2314,145,16,120,18,85,236,119,446,4,11,3
2466,137,19,466,213,872,229,105,664,4,3,3
2421,173,20,495,78,679,245,140,872,4,3,3
2323,135,22,120,36,1208,224,91,960,4,3,3
2446,86,4,95,16,824,233,144,1392,4,6,3
2335,332,23,391,210,1020,204,180,1307,4,10,3
2347,117,4,30,2,1342,236,143,525,4,6,3
2461,275,28,247,18,360,234,232,1829,4,10,3
2388,86,21,366,81,930,200,75,912,4,3,3
2197,321,27,90,44,1073,202,196,732,4,10,3
2400,98,8,420,10,1024,228,126,1026,4,3,3
2352,296,34,201,145,212,208,229,1343,4,10,3
2017,339,23,335,32,408,200,170,272,4,5,3
2123,105,19,242,90,339,212,83,342,4,3,3
2139,334,30,67,38,1261,187,179,972,4,10,3
2335,78,29,153,83,1383,175,42,1150,4,3,3
2335,61,17,153,28,1065,202,98,1026,4,3,3
2250,291,32,90,68,1383,216,231,1048,4,10,3
2092,284,17,295,84,402,238,207,212,4,5,3
2013,94,18,108,53,150,209,85,335,4,3,3
2287,291,22,242,104,866,230,215,552,4,10,3
2509,219,6,576,119,957,246,170,391,4,6,3
2443,66,10,342,89,319,220,122,384,4,3,3
2253,2,34,95,56,1170,154,123,618,4,10,3
2346,147,16,234,117,953,237,123,745,4,6,3
1990,115,17,120,21,180,221,95,309,4,6,3
2408,329,21,335,142,1310,211,182,731,4,10,3
2118,317,30,85,42,1410,199,203,713,4,10,3
2341,39,19,192,97,1350,196,107,1167,4,3,3
2302,85,39,285,12,631,146,0,552,4,10,3
2279,344,35,283,154,1082,165,159,1209,4,10,3
2408,278,21,60,21,902,238,218,1362,4,10,3
2261,50,34,67,44,1290,147,43,558,4,4,3
2432,132,24,297,173,1442,219,83,525,4,6,3
2199,103,30,67,38,600,185,36,711,4,3,3
2082,276,24,170,64,234,236,224,511,4,10,3
2358,312,25,295,128,886,213,203,212,4,10,3
2094,299,37,0,0,153,198,229,636,4,10,3
2162,121,16,190,89,376,225,103,636,4,3,3
2476,31,30,108,14,552,162,84,1084,4,10,3
2103,149,28,85,29,480,225,91,518,4,6,3
2278,117,15,30,4,1584,225,106,664,4,3,3
2495,47,27,256,18,750,169,70,841,4,10,3
2078,267,39,120,76,210,222,248,124,4,5,3
2524,103,9,150,41,301,228,122,1674,4,6,3
2358,94,16,212,29,430,215,97,671,4,3,3
2441,60,28,255,74,644,170,56,690,4,10,3
2304,22,31,295,34,853,159,94,295,4,10,3
2317,31,26,30,25,1254,173,93,990,4,10,3
2060,12,19,175,64,277,197,133,283,4,5,3
2019,55,24,190,50,270,182,76,319,4,6,3
1987,323,42,127,107,108,162,196,283,4,10,3
2334,141,7,418,-80,108,238,141,591,4,3,3
2292,100,19,150,78,1470,210,83,711,4,3,3
2323,100,27,339,28,1405,193,50,234,4,3,3
2316,40,15,295,92,1100,207,118,335,4,6,3
2372,82,24,150,55,295,191,62,658,4,4,3
2183,52,24,497,164,569,180,77,365,4,5,3
2038,44,32,67,37,190,152,55,451,4,10,3
2067,84,23,268,110,313,195,67,421,4,3,3
2485,286,12,212,43,324,239,194,1973,4,6,3
2153,356,14,30,-1,1307,214,154,1113,4,17,3
2074,95,22,212,154,242,202,71,497,4,3,3
2302,289,16,0,0,1142,237,202,240,4,3,3
2190,1,41,524,33,566,133,113,778,4,10,3
2258,300,23,350,133,541,224,210,379,4,6,3
2376,14,25,342,220,1126,179,119,1216,4,10,3
2241,332,25,283,145,1237,200,180,1113,4,10,3
2226,18,20,234,142,360,193,124,582,4,10,3
2354,282,21,283,101,417,236,217,663,4,10,3
2261,217,36,510,-68,636,246,200,860,4,3,3
2135,325,35,42,23,1230,180,193,1012,4,10,3
2293,138,20,30,9,1489,228,100,742,4,3,3
2355,65,28,127,23,480,173,53,524,4,3,3
2112,61,33,255,97,570,154,35,618,4,6,3
2440,343,7,350,174,1315,229,162,659,4,6,3
2346,303,19,127,52,890,227,202,598,4,6,3
2139,299,38,67,37,1295,195,231,964,4,10,3
2321,276,26,162,68,450,235,227,589,4,10,3
2424,338,30,511,221,1146,182,171,295,4,10,3
2471,97,29,283,84,800,185,41,577,4,3,3
2175,343,31,335,140,457,176,162,313,4,10,3
2473,29,11,240,22,849,217,135,1110,4,6,3
2382,102,19,85,-1,720,211,84,1249,4,5,3
2081,118,17,0,0,570,223,100,618,4,6,3
2490,105,16,42,7,330,219,98,1581,4,5,3
2258,204,26,85,42,1048,252,178,569,4,3,3
2388,354,15,420,244,1003,213,155,1198,4,3,3
2347,287,23,30,9,1320,232,219,924,4,10,3
2116,244,31,90,32,1168,246,228,426,4,3,3
2513,308,10,342,85,330,234,182,1806,4,10,3
2309,354,6,162,46,997,229,158,859,4,6,3
2458,47,26,30,0,876,175,77,942,4,10,3
2323,39,22,192,80,624,186,97,691,4,10,3
2235,272,32,335,97,600,230,240,1638,4,10,3
2256,337,40,150,101,1321,153,168,1233,4,10,3
2009,88,40,127,90,153,144,0,437,4,3,3
2302,260,13,360,40,150,247,198,371,4,10,3
2474,91,18,228,87,780,209,88,218,4,3,3
2343,4,3,30,3,42,233,155,780,4,17,3
2310,91,13,323,176,973,218,106,361,4,6,3
2345,217,24,421,203,912,254,193,918,4,3,3
2351,340,26,300,207,1065,192,169,1332,4,10,3
2291,267,22,85,21,1034,243,220,295,4,3,3
2187,24,34,95,42,1374,146,81,1312,4,10,3
2413,33,13,127,34,953,212,128,582,4,6,3
2362,46,27,216,60,994,169,71,134,4,6,3
2089,306,25,30,19,633,217,210,150,4,10,3
2355,335,22,150,98,1571,204,176,875,4,3,3
2263,339,37,277,158,607,160,167,256,4,10,3
2251,285,29,30,9,382,224,231,882,4,10,3
2361,6,19,150,72,361,201,141,459,4,10,3
2372,98,14,170,23,553,219,103,680,4,3,3
2247,27,16,60,0,721,203,124,474,4,10,3
2443,295,25,272,163,306,223,219,1744,4,10,3
2356,273,27,127,54,1036,236,230,175,4,6,3
2461,266,7,480,155,973,243,180,1158,4,6,3
2237,1,31,30,18,1170,165,130,426,4,10,3
2106,23,23,42,-1,513,183,111,648,4,10,3
2492,112,20,175,0,524,214,82,1465,4,5,3
2498,324,2,335,55,42,236,160,1698,4,6,3
2104,136,34,150,91,421,204,52,451,4,6,3
2330,11,14,418,177,1158,210,141,518,4,6,3
2037,202,32,42,19,446,248,174,424,4,3,3
2289,352,17,60,9,595,208,156,752,4,10,3
2330,188,14,192,55,624,250,159,765,4,4,3
2358,288,20,541,233,759,234,212,1500,4,10,3
2163,3,26,67,24,742,179,133,1575,4,17,3
2333,152,6,234,47,511,240,147,671,4,4,3
2281,172,13,85,19,212,246,147,277,4,11,3
2117,14,21,30,6,658,193,128,492,4,14,3
2308,62,26,255,128,1509,176,61,127,4,10,3
2526,14,32,218,39,713,159,107,1231,4,10,3
2313,58,19,0,0,742,197,92,511,4,10,3
2221,351,30,30,21,1114,175,149,618,4,10,3
2222,296,32,277,146,1549,211,227,859,4,10,3
2095,314,32,108,62,576,196,208,541,4,10,3
2170,196,12,108,-4,300,250,165,492,4,3,3
2071,255,12,234,63,342,247,193,247,4,5,3
2299,22,10,150,24,750,218,140,664,4,3,3
2429,292,20,180,52,324,232,210,525,4,6,3
2410,256,24,240,81,124,246,224,514,4,10,3
2371,173,30,60,12,551,237,124,1208,4,4,3
2455,19,11,390,185,745,217,141,759,4,6,3
2304,111,30,85,32,1237,193,43,666,4,3,3
2127,13,26,30,4,1060,178,120,1466,4,10,3
2228,276,36,95,54,765,220,244,616,4,10,3
2249,295,31,67,35,765,213,227,1590,4,10,3
1988,72,20,134,38,108,196,80,108,4,6,3
2253,335,13,30,6,842,221,171,466,4,10,3
2401,345,20,450,204,1421,205,164,511,4,10,3
2103,314,26,175,100,228,208,203,616,4,10,3
2263,92,30,95,49,1500,179,35,767,4,3,3
2478,82,20,216,-13,541,200,78,1468,4,5,3
2065,124,17,120,7,671,225,100,828,4,3,3
2307,43,20,247,69,655,193,100,537,4,6,3
2415,180,27,108,48,560,244,142,1167,4,4,3
2196,230,7,0,0,153,247,175,313,4,3,3
2105,306,31,124,90,190,204,217,592,4,10,3
